更新时间,#genre#
20260426 04:31,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8


央视频道,#genre#
CCTV4,http://183.188.159.32:6000/rtp/226.0.2.21:8080
CCTV4,http://218.68.54.108:4022/udp/225.1.1.150:5002
CCTV4,http://171.213.197.113:4000/udp/239.94.0.4:5140
CCTV4,http://60.223.72.230:8001/rtp/226.0.2.156:9160
CCTV4,http://60.223.72.230:8001/rtp/226.0.2.21:8080
CCTV4,http://123.14.57.49:4022/rtp/225.1.5.30:1333
CCTV4,http://123.14.57.49:4022/rtp/225.1.4.4:1033
CCTV4,http://183.129.255.66:8480/udp/233.50.200.101:5140
CCTV4,http://183.129.255.66:8480/udp/233.50.201.4:5140
CCTV4,http://223.10.85.129:8888/udp/239.1.1.10:8010
CCTV4,http://42.237.223.102:8899/rtp/225.1.5.30:1333
CCTV4,http://42.237.223.102:8899/rtp/225.1.4.4:1033
CCTV4,http://115.206.160.91:8888/udp/233.50.200.101:5140
CCTV4,http://115.206.160.91:8888/udp/233.50.201.4:5140
CCTV4,http://49.72.224.105:4000/rtp/239.49.8.131:6000
CCTV4,http://49.72.224.105:4000/rtp/239.49.1.4:6000
CCTV4,http://171.213.158.140:4000/udp/239.94.0.4:5140
CCTV4,http://118.120.181.57:9000/udp/239.94.0.4:5140
CCTV4,http://125.47.185.63:8800/rtp/225.1.5.30:1333
CCTV4,http://125.47.185.63:8800/rtp/225.1.4.4:1033
CCTV4,http://171.8.104.8:8800/rtp/239.16.20.4:10040
CCTV4,http://171.8.104.8:8800/rtp/239.16.10.128:2000
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV4,https://stream1.freetv.fun/9dca82acae622047c106cad98fa866a026074d1dfd956b0a1f7555f6dd5077ad.m3u8
CCTV4,https://stream1.freetv.fun/ef9b087371bda4714a5baf1f17f93e9dc7cfd2890eab472f3058709c17b3315f.m3u8
CCTV4,https://stream1.freetv.fun/0d839f5d81e4bf543f91e5413de15e99bc658de9826ea59d16333bc8cb664b44.m3u8
CCTV4,https://stream1.freetv.fun/964a51445ff33a4d13e786b28b01992fa55022cfc28c81c5f24497d1131a5d18.m3u8
CCTV4,https://stream1.freetv.fun/8af67b32b047b43e35713509603dd92263f344a13fae50eb202a7956458229fb.m3u8
CCTV5,http://183.188.159.32:6000/rtp/226.0.2.209:9584
CCTV5,http://183.188.159.32:6000/rtp/226.0.2.22:8088
CCTV5,http://218.68.54.108:4022/udp/225.1.1.160:5002
CCTV5,http://171.213.197.113:4000/udp/239.94.0.33:5140
CCTV5,http://171.213.197.113:4000/udp/239.94.2.30:5140
CCTV5,http://171.213.197.113:4000/udp/239.94.0.5:5140
CCTV5,http://60.223.72.230:8001/rtp/226.0.2.209:9584
CCTV5,http://60.223.72.230:8001/rtp/226.0.2.22:8088
CCTV5,http://123.14.57.49:4022/rtp/225.1.4.159:1195
CCTV5,http://183.129.255.66:8480/udp/233.50.200.108:5140
